key,pressDuration,pressTime,releaseTime,flightTime
KeyD,79.69999992847443,15008.899999976158,15088.599999904633,384
KeyE,53.5,15472.599999904633,15526.099999904633,-324.59999990463257
KeyW,337.6999999284744,15201.5,15539.199999928474,211.20000004768372
KeyE,372.5,15750.399999976158,16122.899999976158,42
KeyR,239.60000002384186,16164.899999976158,16404.5,-299.90000009536743
KeyF,309.8000000715256,16104.599999904633,16414.399999976158,139.5
KeyO,36.60000002384186,16553.899999976158,16590.5,8.199999928474426
KeyD,383.7000000476837,16598.699999928474,16982.399999976158,4.899999976158142
KeyN,114.89999997615814,16987.299999952316,17102.199999928474,-102.5
KeyW,201.30000007152557,16999.699999928474,17201,-192.90000009536743
KeyE,336.2000000476837,17008.099999904633,17344.299999952316,91.5
KeyI,69.79999995231628,17435.799999952316,17505.599999904633,37.10000002384186
KeyH,16.399999976158142,17542.699999928474,17559.099999904633,13.5
KeyE,211.60000002384186,17572.599999904633,17784.199999928474,-253.5
KeyW,470.60000002384186,17530.699999928474,18001.299999952316,-38.60000002384186
KeyN,171.80000007152557,17962.699999928474,18134.5,99.5
KeyJ,125.19999992847443,18234,18359.199999928474,163.10000002384186
KeyU,96.20000004768372,18522.299999952316,18618.5,-63.40000009536743
KeyD,72.5,18555.099999904633,18627.599999904633,-173.69999992847443
KeyF,219.79999995231628,18453.899999976158,18673.699999928474,83.30000007152557
KeyF,401.09999990463257,18757,19158.099999904633,-22
KeyK,79.40000009536743,19136.099999904633,19215.5,-70
KeyJ,142.59999990463257,19145.5,19288.099999904633,-170.39999997615814
KeyE,270.5,19117.699999928474,19388.199999928474,167.30000007152557
KeyI,21.199999928474426,19555.5,19576.699999928474,-109.39999997615814
KeyH,128.79999995231628,19467.299999952316,19596.099999904633,-177.79999995231628
KeyF,186,19418.299999952316,19604.299999952316,-21.600000023841858
KeyU,99.39999997615814,19582.699999928474,19682.099999904633,-23.199999928474426
KeyE,194.89999997615814,19658.899999976158,19853.799999952316,-11.799999952316284
KeyN,125.89999997615814,19842,19967.899999976158,-207.70000004768372
KeyF,332.10000002384186,19760.199999928474,20092.299999952316,4.899999976158142
KeyA,199.30000007152557,20097.199999928474,20296.5,-12.600000023841858
KeyD,149.89999997615814,20283.899999976158,20433.799999952316,19.700000047683716
KeyN,130.79999995231628,20453.5,20584.299999952316,102.10000002384186
KeyU,111.29999995231628,20686.399999976158,20797.699999928474,-103
KeyE,264.39999997615814,20694.699999928474,20959.099999904633,-484.89999997615814
KeyF,555.5,20474.199999928474,21029.699999928474,-64.79999995231628
KeyN,136,20964.899999976158,21100.899999976158,46.10000002384186
KeyE,117.39999997615814,21147,21264.399999976158,7.600000023841858
KeyD,216.09999990463257,21272,21488.099999904633,-53.39999997615814
KeyH,109.30000007152557,21434.699999928474,21544,121.39999997615814
KeyW,95.29999995231628,21665.399999976158,21760.699999928474,-24.899999976158142
KeyJ,70.29999995231628,21735.799999952316,21806.099999904633,-133.39999997615814
KeyE,142.60000002384186,21672.699999928474,21815.299999952316,22.899999976158142
KeyB,94.39999997615814,21838.199999928474,21932.599999904633,-413.59999990463257
